ds_mun,sg_uf,n_instituicoes_ia
ALAGOA NOVA,PB,62.0
BANANEIRAS,PB,2.0
CABACEIRAS,PB,11.0
CAMPINA GRANDE,PB,369.0
CAMPINA GRANDE- MIXING CENTER,PB,1.0
CARPINA,PE,39.0
CATURITÉ,PB,14.0
GUARABIRA,PB,58.0
INGÁ,PB,75.0
ITATUBA,PB,24.0
JOÃO PESSOA,PB,211.0
LAGOA SECA,PB,48.0
MOGEIRO,PB,43.0
MONTES CLAROS,MG,104.0
Obs.: Educação Profissionalizante (próxima aba),Nº atualizados até dez/24,
QUEIMADAS,PB,49.0
SANTA RITA,PB,81.0
SERRA REDONDA,PB,26.0
SÃO PAULO,SP,0.0
TOTAL 2023,nan,1126.0
TOTAL 2024,nan,1217.0
VARIAÇÃO (%),nan,0.08081705150976903
nan,Coleta seletiva e bibliotecas Sustentáveis atualizado 16/01,
nan,Número de impactados das bibliotecas em espaços públicos não tem.,
nan,nan,
